cpi_id,lawmaker_id,lawmaker,state,body,district,employer_business_interest,industry,disclosure_report
7968,13004578,"BISHOFF, HEATHER",OH,HOUSE,20,THE BISHOFF INVESTMENT GROUP,SECURITIES & INVESTMENT,https://apps.publicintegrity.org/disclosure/documents/3929693-OH-BISHOFF-HEATHER
8088,13004641,"MAAG, RON",OH,HOUSE,62,FIDELITY INVESTMENTS,SECURITIES & INVESTMENT,https://apps.publicintegrity.org/disclosure/documents/3930078-OH-MAAG-RON
8021,13004650,"DEVITIS, ANTHONY",OH,HOUSE,36,DEVICO LLC,EMPLOYER LISTED/CATEGORY UNKNOWN,https://apps.publicintegrity.org/disclosure/documents/3929816-OH-DEVITIS-ANTHONY
8022,13004650,"DEVITIS, ANTHONY",OH,HOUSE,36,DEVITIS & SONS INC.,FOOD PROCESSING & SALES,https://apps.publicintegrity.org/disclosure/documents/3929816-OH-DEVITIS-ANTHONY
8023,13004650,"DEVITIS, ANTHONY",OH,HOUSE,36,DEVITIS FINE ITALIAN FOODS LLC,FOOD PROCESSING & SALES,https://apps.publicintegrity.org/disclosure/documents/3929816-OH-DEVITIS-ANTHONY
8060,13004821,"HOTTINGER, JAY",OH,SENATE,31,"TRUCK ONE, INC.",TRUCKING,https://apps.publicintegrity.org/disclosure/documents/3929976-OH-HOTTINGER-JAY
8052,13004828,"HAYES, BILL",OH,HOUSE,72,HAYES LAW OFFICES,LAWYERS & LOBBYISTS,https://apps.publicintegrity.org/disclosure/documents/3929943-OH-HAYES-BILL
8053,13004828,"HAYES, BILL",OH,HOUSE,72,HAYES TITLE AGENCY,REAL ESTATE,https://apps.publicintegrity.org/disclosure/documents/3929943-OH-HAYES-BILL
7987,13004883,"BURKE, DAVE",OH,SENATE,26,D & D ASSET MANAGEMENT LLC,EMPLOYER LISTED/CATEGORY UNKNOWN,https://apps.publicintegrity.org/disclosure/documents/3929741-OH-BURKE-DAVE
7988,13004883,"BURKE, DAVE",OH,SENATE,26,DAVE'S PHARMACY,RETAIL SALES,https://apps.publicintegrity.org/disclosure/documents/3929741-OH-BURKE-DAVE
7989,13004883,"BURKE, DAVE",OH,SENATE,26,PHARMACEUTICAL SURGERY INC.,HEALTH PROFESSIONALS,https://apps.publicintegrity.org/disclosure/documents/3929741-OH-BURKE-DAVE
7990,13004883,"BURKE, DAVE",OH,SENATE,26,RSCC,PARTY COMMITTEES,https://apps.publicintegrity.org/disclosure/documents/3929741-OH-BURKE-DAVE
8206,13004962,"COX, DOUG",OK,HOUSE,5,INTEGRIS,HEALTH PROFESSIONALS,https://apps.publicintegrity.org/disclosure/documents/3930455-OK-COX-DOUG
8317,13004971,"SHERRER, BEN",OK,HOUSE,8,BEN SHERRER LAW OFFICE,LAWYERS & LOBBYISTS,https://apps.publicintegrity.org/disclosure/documents/3930741-OK-SHERRER-BEN
8305,13004997,"ROBERTS, DUSTIN",OK,HOUSE,21,ROBERTS CONSTRUCTION,HOME BUILDERS,https://apps.publicintegrity.org/disclosure/documents/3930705-OK-ROBERTS-DUSTIN
8255,13005001,"KOUPLEN, STEVE",OK,HOUSE,24,KOUPLEN FARMS,CROP PRODUCTION & BASIC PROCESSING & LIVESTOCK,https://apps.publicintegrity.org/disclosure/documents/3930571-OK-KOUPLEN-STEVE
8184,13005014,"BINGMAN, BRIAN",OK,SENATE,12,UPLAND RESOURCES INC.,OIL & GAS,https://apps.publicintegrity.org/disclosure/documents/3930410-OK-BINGMAN-BRIAN
8273,13005016,"MCCULLOUGH, MARK",OK,HOUSE,30,MARK E. MCCULLOUGH PLLC,LAWYERS & LOBBYISTS,https://apps.publicintegrity.org/disclosure/documents/3930611-OK-MCCULLOUGH-MARK-EVERETT
8212,13005023,"DENNEY, LEE",OK,HOUSE,33,VETCO,AGRICULTURAL SERVICES & PRODUCTS,https://apps.publicintegrity.org/disclosure/documents/3930470-OK-DENNEY-LEE
8351,13005024,"WILLIAMS, CORY",OK,HOUSE,34,CORY T WILLIAMS PC,LAWYERS & LOBBYISTS,https://apps.publicintegrity.org/disclosure/documents/3930812-OK-WILLIAMS-CORY-T
8352,13005024,"WILLIAMS, CORY",OK,HOUSE,34,WILLIAMS PROPERTY MANAGEMENT,REAL ESTATE,https://apps.publicintegrity.org/disclosure/documents/3930812-OK-WILLIAMS-CORY-T
8344,13005037,"VIRGIN, EMILY",OK,HOUSE,44,VIRGIN LAW FIRM,LAWYERS & LOBBYISTS,https://apps.publicintegrity.org/disclosure/documents/3930797-OK-VIRGIN-EMILY
8309,13005060,"RUSS, TODD",OK,HOUSE,55,ATLAS TITLE AND CLOSING INC.,MISCELLANEOUS FINANCE,https://apps.publicintegrity.org/disclosure/documents/3930716-OK-RUSS-TODD-D
8213,13005086,"DERBY, DAVID",OK,HOUSE,74,WALGREENS,RETAIL SALES,https://apps.publicintegrity.org/disclosure/documents/3930474-OK-DERBY-DAVID
8193,13005088,"BRUMBAUGH, DAVID",OK,HOUSE,76,DRB INDUSTRIES LLC,SPECIAL TRADE CONTRACTORS,https://apps.publicintegrity.org/disclosure/documents/3930426-OK-BRUMBAUGH-DAVID
8316,13005119,"SHELTON, MIKE",OK,HOUSE,97,SHELTON FAMILY BAIL BONDS,MISCELLANEOUS FINANCE,https://apps.publicintegrity.org/disclosure/documents/3930738-OK-SHELTON-MIKE
8407,13005181,"HASS, MARK",OR,SENATE,14,CAPPELLI MILES,BUSINESS SERVICES,https://apps.publicintegrity.org/disclosure/documents/3930967-OR-HASS-MARK
8389,13005224,"EDWARDS, CHRIS",OR,SENATE,7,"CARDINAL SERVICES, INC.",BUSINESS SERVICES,https://apps.publicintegrity.org/disclosure/documents/3930904-OR-EDWARDS-CHRIS
8396,13005239,"GELSER, SARA",OR,SENATE,8,"KOONTZ, PERDUE AND BLASQUEZ P.C.",ACCOUNTANTS,https://apps.publicintegrity.org/disclosure/documents/3930935-OR-GELSER-SARA-A
8382,13005274,"CLEM, BRIAN",OR,HOUSE,21,"ONSITE PC HELP, LLC",EMPLOYER LISTED/CATEGORY UNKNOWN,https://apps.publicintegrity.org/disclosure/documents/3930881-OR-CLEM-BRIAN-L
8383,13005274,"CLEM, BRIAN",OR,HOUSE,21,"PANGAEA TRADING COMPANY, LLC",EMPLOYER LISTED/CATEGORY UNKNOWN,https://apps.publicintegrity.org/disclosure/documents/3930881-OR-CLEM-BRIAN-L
8394,13005395,"FREDERICK, LEW",OR,HOUSE,43,NATIONAL ALLIANCE ON MENTAL ILLNESS,HEALTH & WELFARE POLICY,https://apps.publicintegrity.org/disclosure/documents/3930925-OR-FREDERICK-LEW
8453,13005467,"SMITH, GREGORY",OR,HOUSE,57,"GREGORY SMITH & COMPANY, LLC",EMPLOYER LISTED/CATEGORY UNKNOWN,https://apps.publicintegrity.org/disclosure/documents/3931093-OR-SMITH-GREGORY-V
8570,13005537,"DIGIROLAMO, GENE",PA,HOUSE,18,FIRST SERVICE BANK,COMMERCIAL BANKS,https://apps.publicintegrity.org/disclosure/documents/3929775-PA-DIGIROLAMO-GENE-D
8607,13005552,"FRANKEL, DAN",PA,HOUSE,23,HENDERSON BROTHERS,INSURANCE,https://apps.publicintegrity.org/disclosure/documents/3929844-PA-FRANKEL-DAN-B
8715,13005556,"MARKOSEK, JOSEPH",PA,HOUSE,25,"VANGUARD GROUP, INC",SECURITIES & INVESTMENT,https://apps.publicintegrity.org/disclosure/documents/3930023-PA-MARKOSEK-JOSEPH-F
8651,13005561,"HENNESSEY, TIMOTHY",PA,HOUSE,26,HENNESSEY AND HENNESSEY LAW OFFICE,LAWYERS & LOBBYISTS,https://apps.publicintegrity.org/disclosure/documents/3929932-PA-HENNESSEY-TIMOTHY-F
8872,13005571,"TURZAI, MICHAEL",PA,HOUSE,28,"HEFREN-TILLOTSON, INC",MISCELLANEOUS FINANCE,https://apps.publicintegrity.org/disclosure/documents/3930257-PA-TURZAI-MICHAEL-C
8873,13005571,"TURZAI, MICHAEL",PA,HOUSE,28,HOUSTON HARBAUGH,LAWYERS & LOBBYISTS,https://apps.publicintegrity.org/disclosure/documents/3930257-PA-TURZAI-MICHAEL-C
8564,13005589,"DELUCA, ANTHONY",PA,HOUSE,32,DOLLAR BANK,SAVINGS & LOANS,https://apps.publicintegrity.org/disclosure/documents/3929768-PA-DELUCA-ANTHONY-M
8565,13005589,"DELUCA, ANTHONY",PA,HOUSE,32,LINCOLN FINANCING,MISCELLANEOUS FINANCE,https://apps.publicintegrity.org/disclosure/documents/3929768-PA-DELUCA-ANTHONY-M
8566,13005589,"DELUCA, ANTHONY",PA,HOUSE,32,MED LIFE,INSURANCE,https://apps.publicintegrity.org/disclosure/documents/3929768-PA-DELUCA-ANTHONY-M
